index,item
426828,http://www.wikidata.org/entity/Q136439066
429281,http://www.wikidata.org/entity/Q20656896
40133,http://www.wikidata.org/entity/Q17598980
492840,http://www.wikidata.org/entity/Q5270989
268785,http://www.wikidata.org/entity/Q102541369
368043,http://www.wikidata.org/entity/Q12329066
331401,http://www.wikidata.org/entity/Q111057263
654384,http://www.wikidata.org/entity/Q30284419
759949,http://www.wikidata.org/entity/Q139386937
706228,http://www.wikidata.org/entity/Q106527636
313427,http://www.wikidata.org/entity/Q63015129
499027,http://www.wikidata.org/entity/Q111863692
139201,http://www.wikidata.org/entity/Q28666906
707216,http://www.wikidata.org/entity/Q106782537
307652,http://www.wikidata.org/entity/Q130330597
530778,http://www.wikidata.org/entity/Q111887440
231630,http://www.wikidata.org/entity/Q26643869
334768,http://www.wikidata.org/entity/Q111058074
439203,http://www.wikidata.org/entity/Q111393344
14203,http://www.wikidata.org/entity/Q7234767
700430,http://www.wikidata.org/entity/Q90491292
651990,http://www.wikidata.org/entity/Q111975831
728013,http://www.wikidata.org/entity/Q116892453
499703,http://www.wikidata.org/entity/Q111864043
80468,http://www.wikidata.org/entity/Q125779459
256317,http://www.wikidata.org/entity/Q80585244
508375,http://www.wikidata.org/entity/Q111870384
31562,http://www.wikidata.org/entity/Q117886296
512190,http://www.wikidata.org/entity/Q111872698
460891,http://www.wikidata.org/entity/Q111406272
147015,http://www.wikidata.org/entity/Q39083046
378683,http://www.wikidata.org/entity/Q11688641
118768,http://www.wikidata.org/entity/Q42668076
390714,http://www.wikidata.org/entity/Q111100609
53390,http://www.wikidata.org/entity/Q111951472
299213,http://www.wikidata.org/entity/Q4806832
197045,http://www.wikidata.org/entity/Q64975153
304312,http://www.wikidata.org/entity/Q110978414
584908,http://www.wikidata.org/entity/Q11585648
575769,http://www.wikidata.org/entity/Q112023752
675654,http://www.wikidata.org/entity/Q7099675
41086,http://www.wikidata.org/entity/Q47538452
372795,http://www.wikidata.org/entity/Q111070517
132662,http://www.wikidata.org/entity/Q3061897
583998,http://www.wikidata.org/entity/Q115795673
696664,http://www.wikidata.org/entity/Q65242525
620242,http://www.wikidata.org/entity/Q19871764
661290,http://www.wikidata.org/entity/Q30292662
269626,http://www.wikidata.org/entity/Q1118031
190277,http://www.wikidata.org/entity/Q2323376
284937,http://www.wikidata.org/entity/Q56256091
501634,http://www.wikidata.org/entity/Q5718375
381638,http://www.wikidata.org/entity/Q130551344
519737,http://www.wikidata.org/entity/Q111877662
663470,http://www.wikidata.org/entity/Q130297733
148623,http://www.wikidata.org/entity/Q41567405
223060,http://www.wikidata.org/entity/Q13033027
188324,http://www.wikidata.org/entity/Q14514754
261014,http://www.wikidata.org/entity/Q314414
71156,http://www.wikidata.org/entity/Q66638482
255956,http://www.wikidata.org/entity/Q80585063
367029,http://www.wikidata.org/entity/Q139393557
453268,http://www.wikidata.org/entity/Q112121279
551461,http://www.wikidata.org/entity/Q112007100
193381,http://www.wikidata.org/entity/Q44857299
150600,http://www.wikidata.org/entity/Q43064775
563172,http://www.wikidata.org/entity/Q11319830
693695,http://www.wikidata.org/entity/Q61934233
692848,http://www.wikidata.org/entity/Q60770764
745168,http://www.wikidata.org/entity/Q131188870
645838,http://www.wikidata.org/entity/Q104119686
372713,http://www.wikidata.org/entity/Q26651010
255229,http://www.wikidata.org/entity/Q112749789
125034,http://www.wikidata.org/entity/Q122391582
758156,http://www.wikidata.org/entity/Q138860342
301730,http://www.wikidata.org/entity/Q110976397
463809,http://www.wikidata.org/entity/Q19865233
329257,http://www.wikidata.org/entity/Q1920179
25111,http://www.wikidata.org/entity/Q117349416
614410,http://www.wikidata.org/entity/Q18217550
480473,http://www.wikidata.org/entity/Q111662236
225764,http://www.wikidata.org/entity/Q67814818
342190,http://www.wikidata.org/entity/Q133802772
590351,http://www.wikidata.org/entity/Q117326294
542499,http://www.wikidata.org/entity/Q112001796
667376,http://www.wikidata.org/entity/Q30325157
763535,http://www.wikidata.org/entity/Q139961631
256550,http://www.wikidata.org/entity/Q1047584
579498,http://www.wikidata.org/entity/Q11507302
203744,http://www.wikidata.org/entity/Q67804886
671180,http://www.wikidata.org/entity/Q139619996
127055,http://www.wikidata.org/entity/Q42768226
663883,http://www.wikidata.org/entity/Q30297811
318734,http://www.wikidata.org/entity/Q111054030
494355,http://www.wikidata.org/entity/Q5328706
117016,http://www.wikidata.org/entity/Q108974484
456660,http://www.wikidata.org/entity/Q121464551
654535,http://www.wikidata.org/entity/Q116752536
354719,http://www.wikidata.org/entity/Q100142778
234084,http://www.wikidata.org/entity/Q75844532
493771,http://www.wikidata.org/entity/Q111860649
687289,http://www.wikidata.org/entity/Q55936488
636236,http://www.wikidata.org/entity/Q20855746
578548,http://www.wikidata.org/entity/Q11502386
337643,http://www.wikidata.org/entity/Q111058922
671496,http://www.wikidata.org/entity/Q37605354
178345,http://www.wikidata.org/entity/Q54974448
466739,http://www.wikidata.org/entity/Q116851587
278869,http://www.wikidata.org/entity/Q99474583
145586,http://www.wikidata.org/entity/Q51779763
273995,http://www.wikidata.org/entity/Q107129291
663050,http://www.wikidata.org/entity/Q128786450
460229,http://www.wikidata.org/entity/Q137900957
401512,http://www.wikidata.org/entity/Q41321814
299304,http://www.wikidata.org/entity/Q123455816
360117,http://www.wikidata.org/entity/Q133756668
311397,http://www.wikidata.org/entity/Q138246972
218100,http://www.wikidata.org/entity/Q47155491
580675,http://www.wikidata.org/entity/Q113560425
273990,http://www.wikidata.org/entity/Q107124028
483833,http://www.wikidata.org/entity/Q4887507
309942,http://www.wikidata.org/entity/Q31899865
492008,http://www.wikidata.org/entity/Q111859523
649818,http://www.wikidata.org/entity/Q109048493
564070,http://www.wikidata.org/entity/Q11324300
438505,http://www.wikidata.org/entity/Q136192518
656537,http://www.wikidata.org/entity/Q30286303
694558,http://www.wikidata.org/entity/Q64141520
514318,http://www.wikidata.org/entity/Q111874064
243383,http://www.wikidata.org/entity/Q106614628
732276,http://www.wikidata.org/entity/Q120176281
438337,http://www.wikidata.org/entity/Q111392986
588779,http://www.wikidata.org/entity/Q11676045
92564,http://www.wikidata.org/entity/Q130247259
712958,http://www.wikidata.org/entity/Q107743084
674852,http://www.wikidata.org/entity/Q136560070
549228,http://www.wikidata.org/entity/Q10946773
545597,http://www.wikidata.org/entity/Q10680563
386203,http://www.wikidata.org/entity/Q64667291
44220,http://www.wikidata.org/entity/Q38692821
256812,http://www.wikidata.org/entity/Q2941090
518247,http://www.wikidata.org/entity/Q7160568
440428,http://www.wikidata.org/entity/Q111393772
167800,http://www.wikidata.org/entity/Q121126943
253790,http://www.wikidata.org/entity/Q80583759
283624,http://www.wikidata.org/entity/Q108882829
673852,http://www.wikidata.org/entity/Q43895085
623345,http://www.wikidata.org/entity/Q20539296
428440,http://www.wikidata.org/entity/Q111389706
657926,http://www.wikidata.org/entity/Q121464788
179674,http://www.wikidata.org/entity/Q54978116
392489,http://www.wikidata.org/entity/Q111101179
725058,http://www.wikidata.org/entity/Q115489086
574285,http://www.wikidata.org/entity/Q112021938
725313,http://www.wikidata.org/entity/Q115780407
608825,http://www.wikidata.org/entity/Q17013891
6583,http://www.wikidata.org/entity/Q7864197
81502,http://www.wikidata.org/entity/Q42310714
128194,http://www.wikidata.org/entity/Q1190598
322238,http://www.wikidata.org/entity/Q130558342
80005,http://www.wikidata.org/entity/Q42305282
181408,http://www.wikidata.org/entity/Q54984783
79887,http://www.wikidata.org/entity/Q66652065
62845,http://www.wikidata.org/entity/Q6439558
228229,http://www.wikidata.org/entity/Q26602919
433929,http://www.wikidata.org/entity/Q111391323
67818,http://www.wikidata.org/entity/Q66634482
245281,http://www.wikidata.org/entity/Q96140598
256927,http://www.wikidata.org/entity/Q102263628
422417,http://www.wikidata.org/entity/Q2955959
606976,http://www.wikidata.org/entity/Q16927521
381609,http://www.wikidata.org/entity/Q124705555
666810,http://www.wikidata.org/entity/Q30299624
542661,http://www.wikidata.org/entity/Q112001759
130167,http://www.wikidata.org/entity/Q1966126
65232,http://www.wikidata.org/entity/Q95599756
537896,http://www.wikidata.org/entity/Q9362567
445014,http://www.wikidata.org/entity/Q56422857
599517,http://www.wikidata.org/entity/Q14293429
737097,http://www.wikidata.org/entity/Q124410219
648144,http://www.wikidata.org/entity/Q106908159
539587,http://www.wikidata.org/entity/Q112000057
