index,item
600688,http://www.wikidata.org/entity/Q65578490
171650,http://www.wikidata.org/entity/Q5541574
825684,http://www.wikidata.org/entity/Q123891382
231000,http://www.wikidata.org/entity/Q7526659
805229,http://www.wikidata.org/entity/Q123869353
713045,http://www.wikidata.org/entity/Q108757804
927385,http://www.wikidata.org/entity/Q139565339
770697,http://www.wikidata.org/entity/Q115530329
534013,http://www.wikidata.org/entity/Q55127761
325335,http://www.wikidata.org/entity/Q15071998
591389,http://www.wikidata.org/entity/Q65563271
695017,http://www.wikidata.org/entity/Q106412443
669492,http://www.wikidata.org/entity/Q98250650
8604,http://www.wikidata.org/entity/Q130917
668342,http://www.wikidata.org/entity/Q98247351
343647,http://www.wikidata.org/entity/Q16031374
305617,http://www.wikidata.org/entity/Q12612159
860786,http://www.wikidata.org/entity/Q131824207
323456,http://www.wikidata.org/entity/Q14134111
216871,http://www.wikidata.org/entity/Q6959439
506374,http://www.wikidata.org/entity/Q42381242
886881,http://www.wikidata.org/entity/Q136667009
26230,http://www.wikidata.org/entity/Q521377
694036,http://www.wikidata.org/entity/Q106233877
530059,http://www.wikidata.org/entity/Q53647962
566694,http://www.wikidata.org/entity/Q63131342
391326,http://www.wikidata.org/entity/Q18045218
373087,http://www.wikidata.org/entity/Q16890849
875292,http://www.wikidata.org/entity/Q134100741
430522,http://www.wikidata.org/entity/Q21685532
237274,http://www.wikidata.org/entity/Q7660381
889461,http://www.wikidata.org/entity/Q136667796
11580,http://www.wikidata.org/entity/Q185574
715467,http://www.wikidata.org/entity/Q109450353
761826,http://www.wikidata.org/entity/Q112993480
648482,http://www.wikidata.org/entity/Q94897202
555974,http://www.wikidata.org/entity/Q61062880
687292,http://www.wikidata.org/entity/Q104882998
830135,http://www.wikidata.org/entity/Q123893144
340184,http://www.wikidata.org/entity/Q16009507
360461,http://www.wikidata.org/entity/Q16307755
40357,http://www.wikidata.org/entity/Q1039083
726578,http://www.wikidata.org/entity/Q110519464
695184,http://www.wikidata.org/entity/Q106292182
